#ell D_ell[µK²] error
5.100000000000000000e+01 1.650286824505425151e-05 1.750286824505425041e-06
5.200000000000000000e+01 1.492846840062262684e-05 1.592846840062262743e-06
5.300000000000000000e+01 1.537389297189581221e-05 1.637389297189581449e-06
5.400000000000000000e+01 1.376999338467259923e-05 1.476999338467260152e-06
5.500000000000000000e+01 1.517261124969132102e-05 1.617261124969132077e-06
5.600000000000000000e+01 1.483799162106378757e-05 1.583799162106378985e-06
5.700000000000000000e+01 1.498805168458871858e-05 1.598805168458872002e-06
5.800000000000000000e+01 1.523478200814755672e-05 1.623478200814755815e-06
5.900000000000000000e+01 1.563480404243765753e-05 1.663480404243765812e-06
6.000000000000000000e+01 1.597062524805043502e-05 1.697062524805043646e-06
6.100000000000000000e+01 1.521887321761935624e-05 1.621887321761935514e-06
6.200000000000000000e+01 1.468621386647558973e-05 1.568621386647559201e-06
6.300000000000000000e+01 1.396964145281768586e-05 1.496964145281768561e-06
6.400000000000000000e+01 1.405368088185218059e-05 1.505368088185218033e-06
6.500000000000000000e+01 1.355324970656608715e-05 1.455324970656608943e-06
6.600000000000000000e+01 1.377996294506239746e-05 1.477996294506239805e-06
6.700000000000000000e+01 1.312346882163423041e-05 1.412346882163423185e-06
6.800000000000000000e+01 1.338841129051332111e-05 1.438841129051332001e-06
6.900000000000000000e+01 1.322559149824175540e-05 1.422559149824175430e-06
7.000000000000000000e+01 1.314818641622200270e-05 1.414818641622200498e-06
7.100000000000000000e+01 1.301277390215272485e-05 1.401277390215272544e-06
7.200000000000000000e+01 1.229283960139676234e-05 1.329283960139676124e-06
7.300000000000000000e+01 1.204681013739159036e-05 1.304681013739159095e-06
7.400000000000000000e+01 1.133456436197471858e-05 1.233456436197471832e-06
7.500000000000000000e+01 1.232211801814743633e-05 1.332211801814743692e-06
7.600000000000000000e+01 1.361469512815956107e-05 1.461469512815955997e-06
7.700000000000000000e+01 1.405960433263919401e-05 1.505960433263919375e-06
7.800000000000000000e+01 1.488848998615616888e-05 1.588848998615616778e-06
7.900000000000000000e+01 1.410978541634042808e-05 1.510978541634042697e-06
8.000000000000000000e+01 1.442575495149591045e-05 1.542575495149591104e-06
8.100000000000000000e+01 1.316026417977654773e-05 1.416026417977654832e-06
8.200000000000000000e+01 1.361057437609869880e-05 1.461057437609870024e-06
8.300000000000000000e+01 1.410943480475310166e-05 1.510943480475310394e-06
8.400000000000000000e+01 1.562983982559208767e-05 1.662983982559208741e-06
8.500000000000000000e+01 1.599895364047426138e-05 1.699895364047426367e-06
8.600000000000000000e+01 1.662866958099955722e-05 1.762866958099955697e-06
8.700000000000000000e+01 1.529183044986924775e-05 1.629183044986925003e-06
8.800000000000000000e+01 1.710546419697241510e-05 1.810546419697241738e-06
8.900000000000000000e+01 1.961987963317847418e-05 2.061987963317847392e-06
9.000000000000000000e+01 1.885216602921956959e-05 1.985216602921957187e-06
9.100000000000000000e+01 2.071479008089641653e-05 2.171479008089641458e-06
9.200000000000000000e+01 2.052335544910286320e-05 2.152335544910286295e-06
9.300000000000000000e+01 2.082506094454768863e-05 2.182506094454768752e-06
9.400000000000000000e+01 1.924432569627201591e-05 2.024432569627201565e-06
9.500000000000000000e+01 2.144300760366405783e-05 2.244300760366405757e-06
9.600000000000000000e+01 2.249259250642936792e-05 2.349259250642936851e-06
9.700000000000000000e+01 2.252036479469008575e-05 2.352036479469008465e-06
9.800000000000000000e+01 2.188943898317932246e-05 2.288943898317932135e-06
9.900000000000000000e+01 2.187474895660506199e-05 2.287474895660506343e-06
1.000000000000000000e+02 2.345952130607133586e-05 2.445952130607133476e-06
1.010000000000000000e+02 2.384753832269745778e-05 2.484753832269745837e-06
1.020000000000000000e+02 2.354726843218565236e-05 2.454726843218565465e-06
1.030000000000000000e+02 2.348022708233861908e-05 2.448022708233861882e-06
1.040000000000000000e+02 2.366776267692448599e-05 2.466776267692448827e-06
1.050000000000000000e+02 2.459888440330944436e-05 2.559888440330944495e-06
1.060000000000000000e+02 2.821363389616480941e-05 2.921363389616480916e-06
1.070000000000000000e+02 2.794154581450895882e-05 2.894154581450896026e-06
1.080000000000000000e+02 2.809443748212354835e-05 2.909443748212354894e-06
1.090000000000000000e+02 2.730060963663001611e-05 2.830060963663001670e-06
1.100000000000000000e+02 3.027284516823338344e-05 3.127284516823338318e-06
1.110000000000000000e+02 2.892359971420588487e-05 2.992359971420588376e-06
1.120000000000000000e+02 3.044963964194731480e-05 3.144963964194731709e-06
1.130000000000000000e+02 3.452842140561468681e-05 3.552842140561468570e-06
1.140000000000000000e+02 3.920697833815047964e-05 4.020697833815047685e-06
1.150000000000000000e+02 3.844890201311758853e-05 3.944890201311758573e-06
1.160000000000000000e+02 3.987968296696167356e-05 4.087968296696167754e-06
1.170000000000000000e+02 3.891516878256006767e-05 3.991516878256006657e-06
1.180000000000000000e+02 4.249875635833110166e-05 4.349875635833110564e-06
1.190000000000000000e+02 4.021936731351016982e-05 4.121936731351017041e-06
1.200000000000000000e+02 4.202099822344298606e-05 4.302099822344298835e-06
1.210000000000000000e+02 4.468595348096271924e-05 4.568595348096272322e-06
1.220000000000000000e+02 4.346092648588092137e-05 4.446092648588092534e-06
1.230000000000000000e+02 4.356739906759683712e-05 4.456739906759684110e-06
1.240000000000000000e+02 4.381542203956316831e-05 4.481542203956317229e-06
1.250000000000000000e+02 5.025719385149615839e-05 5.125719385149615898e-06
1.260000000000000000e+02 5.145372055213852803e-05 5.245372055213852693e-06
1.270000000000000000e+02 5.345696026880514403e-05 5.445696026880514462e-06
1.280000000000000000e+02 4.779846314334206968e-05 4.879846314334207366e-06
1.290000000000000000e+02 5.358076197706693167e-05 5.458076197706693396e-06
1.300000000000000000e+02 5.371361919831670365e-05 5.471361919831670594e-06
1.310000000000000000e+02 5.763008406961936446e-05 5.863008406961937013e-06
1.320000000000000000e+02 6.162083626583111570e-05 6.262083626583112138e-06
1.330000000000000000e+02 6.561523399568337225e-05 6.661523399568337454e-06
1.340000000000000000e+02 6.632434150841167559e-05 6.732434150841167787e-06
1.350000000000000000e+02 7.168743601133212100e-05 7.268743601133212498e-06
1.360000000000000000e+02 7.220215681726555078e-05 7.320215681726555476e-06
1.370000000000000000e+02 6.565544946083123174e-05 6.665544946083123741e-06
1.380000000000000000e+02 6.677140941024084530e-05 6.777140941024084589e-06
1.390000000000000000e+02 7.388746418634121256e-05 7.488746418634121485e-06
1.400000000000000000e+02 7.988591477183216137e-05 8.088591477183216873e-06
1.410000000000000000e+02 8.124097515268126173e-05 8.224097515268127587e-06
1.420000000000000000e+02 7.807500124138913979e-05 7.907500124138914377e-06
1.430000000000000000e+02 8.891130509589024588e-05 8.991130509589025663e-06
1.440000000000000000e+02 9.202840374467593707e-05 9.302840374467595460e-06
1.450000000000000000e+02 9.270828186932710793e-05 9.370828186932712546e-06
1.460000000000000000e+02 9.139416111828861850e-05 9.239416111828862926e-06
1.470000000000000000e+02 9.713639398114128998e-05 9.813639398114130412e-06
1.480000000000000000e+02 9.118137732538525832e-05 9.218137732538526569e-06
1.490000000000000000e+02 1.010974691677923827e-04 1.020974691677924002e-05
1.500000000000000000e+02 9.259280623516555385e-05 9.359280623516557138e-06
1.510000000000000000e+02 9.947803604860527512e-05 1.004780360486052927e-05
1.520000000000000000e+02 1.055806060346963193e-04 1.065806060346963402e-05
1.530000000000000000e+02 1.063312653283921195e-04 1.073312653283921302e-05
1.540000000000000000e+02 1.105772545115222991e-04 1.115772545115223132e-05
1.550000000000000000e+02 1.236633893752847396e-04 1.246633893752847537e-05
1.560000000000000000e+02 1.227670621400276600e-04 1.237670621400276673e-05
1.570000000000000000e+02 1.291580701739604323e-04 1.301580701739604498e-05
1.580000000000000000e+02 1.093002098509741497e-04 1.103002098509741605e-05
1.590000000000000000e+02 1.234180550484094104e-04 1.244180550484094246e-05
1.600000000000000000e+02 1.329321798444153683e-04 1.339321798444153790e-05
1.610000000000000000e+02 1.342466699178473260e-04 1.352466699178473334e-05
1.620000000000000000e+02 1.356478062834627900e-04 1.366478062834628109e-05
1.630000000000000000e+02 1.376072873072191251e-04 1.386072873072191427e-05
1.640000000000000000e+02 1.412371819474465872e-04 1.422371819474466013e-05
1.650000000000000000e+02 1.461568774460592394e-04 1.471568774460592501e-05
1.660000000000000000e+02 1.521886876411651331e-04 1.531886876411651507e-05
1.670000000000000000e+02 1.502251238857755589e-04 1.512251238857755798e-05
1.680000000000000000e+02 1.460946472751208590e-04 1.470946472751208732e-05
1.690000000000000000e+02 1.548999314230498894e-04 1.558999314230499002e-05
1.700000000000000000e+02 1.470646243575470002e-04 1.480646243575470109e-05
1.710000000000000000e+02 1.481009341931120498e-04 1.491009341931120640e-05
1.720000000000000000e+02 1.778334876521619405e-04 1.788334876521619512e-05
1.730000000000000000e+02 1.607379652690983109e-04 1.617379652690983149e-05
1.740000000000000000e+02 1.674664979474850426e-04 1.684664979474850331e-05
1.750000000000000000e+02 1.820621647913716625e-04 1.830621647913716461e-05
1.760000000000000000e+02 1.673956219831080900e-04 1.683956219831080940e-05
1.770000000000000000e+02 1.728519005936267892e-04 1.738519005936267796e-05
1.780000000000000000e+02 1.845696046027446200e-04 1.855696046027446375e-05
1.790000000000000000e+02 1.823239770834308429e-04 1.833239770834308536e-05
1.800000000000000000e+02 1.797783101713665223e-04 1.807783101713665195e-05
1.810000000000000000e+02 1.903248445742049949e-04 1.913248445742049854e-05
1.820000000000000000e+02 2.082700241653146162e-04 2.092700241653146066e-05
1.830000000000000000e+02 1.802632101854815736e-04 1.812632101854815843e-05
1.840000000000000000e+02 2.070134897089124235e-04 2.080134897089124275e-05
1.850000000000000000e+02 1.907434576477570385e-04 1.917434576477570425e-05
1.860000000000000000e+02 2.274450098031519443e-04 2.284450098031519551e-05
1.870000000000000000e+02 2.144698773154887393e-04 2.154698773154887500e-05
1.880000000000000000e+02 2.266801559504661009e-04 2.276801559504660914e-05
1.890000000000000000e+02 2.100547620416689620e-04 2.110547620416689795e-05
1.900000000000000000e+02 1.857163958440307533e-04 1.867163958440307641e-05
1.910000000000000000e+02 2.475516347407068153e-04 2.485516347407068058e-05
1.920000000000000000e+02 2.205889566430116293e-04 2.215889566430116265e-05
1.930000000000000000e+02 2.378987642521420722e-04 2.388987642521420626e-05
1.940000000000000000e+02 2.155669060467428296e-04 2.165669060467428472e-05
1.950000000000000000e+02 2.194862569014132748e-04 2.204862569014132652e-05
1.960000000000000000e+02 2.265713027515383672e-04 2.275713027515383644e-05
1.970000000000000000e+02 2.359664530142835804e-04 2.369664530142835912e-05
1.980000000000000000e+02 2.273798941857107657e-04 2.283798941857107561e-05
1.990000000000000000e+02 2.362075097627483944e-04 2.372075097627483848e-05
2.000000000000000000e+02 2.344528726007921173e-04 2.354528726007921078e-05
2.010000000000000000e+02 2.402246394576177258e-04 2.412246394576177298e-05
2.020000000000000000e+02 2.289893951128614547e-04 2.299893951128614722e-05
2.030000000000000000e+02 2.366998222313077709e-04 2.376998222313077749e-05
2.040000000000000000e+02 2.475633248085867258e-04 2.485633248085867162e-05
2.050000000000000000e+02 2.636820108565621234e-04 2.646820108565621138e-05
2.060000000000000000e+02 2.479112604613800219e-04 2.489112604613800394e-05
2.070000000000000000e+02 2.362428131931839661e-04 2.372428131931839768e-05
2.080000000000000000e+02 2.472477318700898406e-04 2.482477318700898378e-05
2.090000000000000000e+02 2.361361782473172057e-04 2.371361782473172097e-05
2.100000000000000000e+02 2.413445164933049922e-04 2.423445164933049961e-05
2.110000000000000000e+02 2.420132153578287264e-04 2.430132153578287236e-05
2.120000000000000000e+02 2.531190496371788076e-04 2.541190496371788251e-05
2.130000000000000000e+02 2.488948543139764334e-04 2.498948543139764509e-05
2.140000000000000000e+02 2.532961873814964095e-04 2.542961873814964067e-05
2.150000000000000000e+02 2.356410901183733511e-04 2.366410901183733687e-05
2.160000000000000000e+02 2.486829671515000152e-04 2.496829671515000056e-05
2.170000000000000000e+02 2.354950033941976910e-04 2.364950033941977086e-05
2.180000000000000000e+02 2.496009072753990104e-04 2.506009072753990211e-05
2.190000000000000000e+02 2.562617576914585438e-04 2.572617576914585478e-05
2.200000000000000000e+02 2.656407493893388704e-04 2.666407493893388744e-05
2.210000000000000000e+02 2.591377970820247286e-04 2.601377970820247258e-05
2.220000000000000000e+02 2.417903073101953853e-04 2.427903073101953825e-05
2.230000000000000000e+02 2.538167629911718950e-04 2.548167629911719125e-05
2.240000000000000000e+02 2.497346311824199063e-04 2.507346311824198968e-05
2.250000000000000000e+02 2.444726835736974564e-04 2.454726835736974671e-05
2.260000000000000000e+02 2.555582536228073482e-04 2.565582536228073590e-05
2.270000000000000000e+02 2.536516700794043725e-04 2.546516700794043697e-05
2.280000000000000000e+02 2.348811867219154797e-04 2.358811867219154837e-05
2.290000000000000000e+02 2.627827765212601948e-04 2.637827765212601920e-05
2.300000000000000000e+02 2.552590840887740062e-04 2.562590840887739966e-05
2.310000000000000000e+02 2.458638404582957058e-04 2.468638404582957233e-05
2.320000000000000000e+02 2.392697436453222032e-04 2.402697436453222072e-05
2.330000000000000000e+02 2.364978150025335147e-04 2.374978150025335120e-05
2.340000000000000000e+02 2.527666831207409353e-04 2.537666831207409325e-05
2.350000000000000000e+02 2.365013405272085542e-04 2.375013405272085649e-05
2.360000000000000000e+02 2.460473348576332100e-04 2.470473348576332005e-05
2.370000000000000000e+02 2.604753024366493214e-04 2.614753024366493322e-05
2.380000000000000000e+02 2.588720793024555504e-04 2.598720793024555543e-05
2.390000000000000000e+02 2.332067752573643165e-04 2.342067752573643137e-05
2.400000000000000000e+02 2.304882001028018613e-04 2.314882001028018720e-05
2.410000000000000000e+02 2.255909606069065329e-04 2.265909606069065301e-05
2.420000000000000000e+02 2.352698855578420087e-04 2.362698855578420194e-05
2.430000000000000000e+02 2.442947184827638329e-04 2.452947184827638505e-05
2.440000000000000000e+02 2.200937012258801862e-04 2.210937012258801902e-05
2.450000000000000000e+02 2.254020848480095941e-04 2.264020848480095981e-05
2.460000000000000000e+02 2.222565499031632554e-04 2.232565499031632526e-05
2.470000000000000000e+02 2.311039957707766528e-04 2.321039957707766635e-05
2.480000000000000000e+02 2.147746544620364180e-04 2.157746544620364355e-05
2.490000000000000000e+02 2.120230024587527510e-04 2.130230024587527482e-05
2.500000000000000000e+02 1.959700124015311459e-04 1.969700124015311634e-05
2.510000000000000000e+02 2.097356874590673031e-04 2.107356874590673071e-05
2.520000000000000000e+02 2.091514058916814887e-04 2.101514058916814995e-05
2.530000000000000000e+02 2.064326466372619568e-04 2.074326466372619472e-05
2.540000000000000000e+02 2.135449883324516056e-04 2.145449883324516231e-05
2.550000000000000000e+02 1.980513763487092276e-04 1.990513763487092452e-05
2.560000000000000000e+02 2.155349287435935873e-04 2.165349287435935845e-05
2.570000000000000000e+02 1.978797784197716008e-04 1.988797784197716048e-05
2.580000000000000000e+02 1.940181708020470509e-04 1.950181708020470617e-05
2.590000000000000000e+02 2.037449156075173823e-04 2.047449156075173930e-05
2.600000000000000000e+02 1.892085615351500117e-04 1.902085615351500021e-05
2.610000000000000000e+02 1.776928967816128555e-04 1.786928967816128459e-05
2.620000000000000000e+02 1.800107839162967639e-04 1.810107839162967611e-05
2.630000000000000000e+02 1.828667902254257113e-04 1.838667902254256949e-05
2.640000000000000000e+02 1.759156346127071504e-04 1.769156346127071476e-05
2.650000000000000000e+02 1.825285818153952306e-04 1.835285818153952346e-05
2.660000000000000000e+02 1.652540701332154112e-04 1.662540701332154220e-05
2.670000000000000000e+02 1.767038982241399291e-04 1.777038982241399399e-05
2.680000000000000000e+02 1.670970172861569922e-04 1.680970172861570030e-05
2.690000000000000000e+02 1.591822057932142380e-04 1.601822057932142488e-05
2.700000000000000000e+02 1.581667364760694502e-04 1.591667364760694338e-05
2.710000000000000000e+02 1.571981951101206003e-04 1.581981951101205908e-05
2.720000000000000000e+02 1.487697255449810946e-04 1.497697255449811053e-05
2.730000000000000000e+02 1.413715887121508048e-04 1.423715887121508223e-05
2.740000000000000000e+02 1.454929605673159780e-04 1.464929605673159989e-05
2.750000000000000000e+02 1.388005541653729454e-04 1.398005541653729528e-05
2.760000000000000000e+02 1.220001945307909550e-04 1.230001945307909691e-05
2.770000000000000000e+02 1.371541510887685394e-04 1.381541510887685535e-05
2.780000000000000000e+02 1.327615058929009330e-04 1.337615058929009539e-05
2.790000000000000000e+02 1.323919685139375200e-04 1.333919685139375409e-05
2.800000000000000000e+02 1.248902610767376809e-04 1.258902610767376984e-05
2.810000000000000000e+02 1.182439059631688096e-04 1.192439059631688170e-05
2.820000000000000000e+02 1.228251268517632961e-04 1.238251268517633171e-05
2.830000000000000000e+02 1.166007957930537023e-04 1.176007957930537232e-05
2.840000000000000000e+02 1.109246191878848813e-04 1.119246191878848954e-05
2.850000000000000000e+02 1.128410181024726858e-04 1.138410181024726965e-05
2.860000000000000000e+02 1.079635870158569805e-04 1.089635870158569913e-05
2.870000000000000000e+02 1.127274233028906849e-04 1.137274233028906990e-05
2.880000000000000000e+02 9.834731762958274994e-05 9.934731762958276069e-06
2.890000000000000000e+02 9.858092563255771174e-05 9.958092563255773266e-06
2.900000000000000000e+02 1.043886669710256679e-04 1.053886669710256787e-05
2.910000000000000000e+02 9.308359675246904389e-05 9.408359675246905803e-06
2.920000000000000000e+02 9.775233798460336674e-05 9.875233798460337749e-06
2.930000000000000000e+02 8.207146256391778646e-05 8.307146256391780399e-06
2.940000000000000000e+02 8.173908771284772506e-05 8.273908771284773582e-06
2.950000000000000000e+02 9.001242082084403738e-05 9.101242082084404474e-06
2.960000000000000000e+02 7.876570784634267933e-05 7.976570784634268331e-06
2.970000000000000000e+02 7.995895527492903403e-05 8.095895527492904818e-06
2.980000000000000000e+02 7.705531020049006402e-05 7.805531020049007138e-06
2.990000000000000000e+02 7.631872819550516692e-05 7.731872819550517428e-06
3.000000000000000000e+02 7.426406884776672697e-05 7.526406884776672925e-06
3.010000000000000000e+02 6.864413842897493646e-05 6.964413842897493875e-06
3.020000000000000000e+02 7.024199013842050675e-05 7.124199013842050734e-06
3.030000000000000000e+02 6.524653688932728569e-05 6.624653688932728967e-06
3.040000000000000000e+02 6.859565941163340002e-05 6.959565941163340400e-06
3.050000000000000000e+02 6.744840164259613012e-05 6.844840164259613579e-06
3.060000000000000000e+02 6.184171427381810414e-05 6.284171427381810812e-06
3.070000000000000000e+02 5.646521194282411957e-05 5.746521194282412186e-06
3.080000000000000000e+02 6.167172621867856263e-05 6.267172621867856830e-06
3.090000000000000000e+02 5.673305309337399027e-05 5.773305309337399424e-06
3.100000000000000000e+02 5.854354942443376305e-05 5.954354942443376364e-06
3.110000000000000000e+02 5.523513755044881648e-05 5.623513755044882215e-06
3.120000000000000000e+02 5.987609784859578336e-05 6.087609784859578225e-06
3.130000000000000000e+02 5.134102234297506045e-05 5.234102234297506613e-06
3.140000000000000000e+02 4.957388419747263929e-05 5.057388419747263988e-06
3.150000000000000000e+02 4.826583469197712976e-05 4.926583469197713204e-06
3.160000000000000000e+02 4.254820592769983250e-05 4.354820592769982970e-06
3.170000000000000000e+02 4.319216195263041999e-05 4.419216195263042227e-06
3.180000000000000000e+02 4.194686112025245757e-05 4.294686112025245985e-06
3.190000000000000000e+02 3.621939923624989443e-05 3.721939923624989586e-06
3.200000000000000000e+02 4.020302646765617935e-05 4.120302646765617655e-06
3.210000000000000000e+02 3.674311785700975916e-05 3.774311785700975975e-06
3.220000000000000000e+02 3.419382182537609890e-05 3.519382182537609780e-06
3.230000000000000000e+02 3.600433707452033042e-05 3.700433707452033270e-06
3.240000000000000000e+02 3.298388996969825053e-05 3.398388996969825027e-06
3.250000000000000000e+02 2.946794614440733905e-05 3.046794614440734049e-06
3.260000000000000000e+02 3.316341065886302186e-05 3.416341065886302245e-06
3.270000000000000000e+02 3.222246739375470552e-05 3.322246739375470611e-06
3.280000000000000000e+02 2.963068050099405151e-05 3.063068050099405125e-06
3.290000000000000000e+02 3.141943903751560365e-05 3.241943903751560424e-06
3.300000000000000000e+02 2.762602508245791660e-05 2.862602508245791719e-06
3.310000000000000000e+02 2.787690793515722494e-05 2.887690793515722637e-06
3.320000000000000000e+02 2.707164580757499811e-05 2.807164580757499701e-06
3.330000000000000000e+02 2.495581203063490012e-05 2.595581203063490071e-06
3.340000000000000000e+02 2.660866464130225761e-05 2.760866464130225820e-06
3.350000000000000000e+02 2.598789749878582111e-05 2.698789749878582255e-06
3.360000000000000000e+02 2.255866072597693841e-05 2.355866072597693900e-06
3.370000000000000000e+02 2.134676407424291743e-05 2.234676407424291548e-06
3.380000000000000000e+02 1.984275207246835902e-05 2.084275207246836046e-06
3.390000000000000000e+02 2.004640120992766083e-05 2.104640120992766226e-06
3.400000000000000000e+02 2.328389838519268171e-05 2.428389838519268145e-06
3.410000000000000000e+02 2.026490112584414488e-05 2.126490112584414632e-06
3.420000000000000000e+02 1.939870845558086486e-05 2.039870845558086460e-06
3.430000000000000000e+02 1.812915088430374106e-05 1.912915088430374081e-06
3.440000000000000000e+02 1.726707570983896761e-05 1.826707570983896905e-06
3.450000000000000000e+02 1.807509955742929911e-05 1.907509955742929800e-06
3.460000000000000000e+02 1.691292545593608407e-05 1.791292545593608381e-06
3.470000000000000000e+02 1.643630397252622693e-05 1.743630397252622667e-06
3.480000000000000000e+02 1.645600701201265393e-05 1.745600701201265367e-06
3.490000000000000000e+02 1.707737688916621379e-05 1.807737688916621353e-06
3.500000000000000000e+02 1.562687228351919454e-05 1.662687228351919344e-06
3.510000000000000000e+02 1.585737180172251115e-05 1.685737180172251343e-06
3.520000000000000000e+02 1.559072843980244006e-05 1.659072843980243895e-06
3.530000000000000000e+02 1.568065561600281426e-05 1.668065561600281316e-06
3.540000000000000000e+02 1.459372090678310563e-05 1.559372090678310791e-06
3.550000000000000000e+02 1.546902393061816531e-05 1.646902393061816420e-06
3.560000000000000000e+02 1.357828418558890960e-05 1.457828418558891189e-06
3.570000000000000000e+02 1.390789191343392996e-05 1.490789191343393140e-06
3.580000000000000000e+02 1.337347005780215128e-05 1.437347005780215102e-06
3.590000000000000000e+02 1.471049498543812179e-05 1.571049498543812154e-06
3.600000000000000000e+02 1.545858338495469716e-05 1.645858338495469860e-06
3.610000000000000000e+02 1.622517242914625626e-05 1.722517242914625855e-06
3.620000000000000000e+02 1.529384877404991577e-05 1.629384877404991551e-06
3.630000000000000000e+02 1.480564271883123189e-05 1.580564271883123163e-06
3.640000000000000000e+02 1.396282198509393594e-05 1.496282198509393737e-06
3.650000000000000000e+02 1.514000440252283318e-05 1.614000440252283292e-06
3.660000000000000000e+02 1.577568417504402907e-05 1.677568417504402966e-06
3.670000000000000000e+02 1.592313432227668654e-05 1.692313432227668798e-06
3.680000000000000000e+02 1.543539404698522749e-05 1.643539404698522893e-06
3.690000000000000000e+02 1.483129460975438874e-05 1.583129460975438763e-06
3.700000000000000000e+02 1.648174397970887729e-05 1.748174397970887619e-06
3.710000000000000000e+02 1.661733421646774742e-05 1.761733421646774885e-06
3.720000000000000000e+02 1.523188493794207312e-05 1.623188493794207371e-06
3.730000000000000000e+02 1.501052912540149890e-05 1.601052912540150034e-06
3.740000000000000000e+02 1.534974590877351034e-05 1.634974590877351177e-06
3.750000000000000000e+02 1.584328766961162942e-05 1.684328766961163085e-06
3.760000000000000000e+02 1.614974094377089116e-05 1.714974094377089259e-06
3.770000000000000000e+02 1.515480798004214654e-05 1.615480798004214883e-06
3.780000000000000000e+02 1.675248643003939743e-05 1.775248643003939887e-06
3.790000000000000000e+02 1.784962724219579981e-05 1.884962724219580209e-06
3.800000000000000000e+02 1.670050477940098973e-05 1.770050477940099032e-06
3.810000000000000000e+02 1.919827167609379685e-05 2.019827167609379744e-06
3.820000000000000000e+02 1.769428505002747682e-05 1.869428505002747571e-06
3.830000000000000000e+02 1.865434988361984353e-05 1.965434988361984327e-06
3.840000000000000000e+02 1.861390511442444600e-05 1.961390511442444659e-06
3.850000000000000000e+02 1.940418250891857435e-05 2.040418250891857409e-06
3.860000000000000000e+02 1.898429605640307986e-05 1.998429605640308129e-06
3.870000000000000000e+02 1.804326269770459949e-05 1.904326269770459923e-06
3.880000000000000000e+02 1.946975781908129728e-05 2.046975781908129617e-06
3.890000000000000000e+02 2.178401587483939008e-05 2.278401587483939152e-06
